00:51:39.931 INF Connecting to orderer. addrStr=127.0.0.1:10033 peerId=3
00:51:39.931 INF Connecting to orderer. addrStr=127.0.0.1:10022 peerId=2
00:51:39.931 INF Connecting to orderer. addrStr=127.0.0.1:10000 peerId=0
00:51:39.931 INF Connecting to orderer. addrStr=127.0.0.1:10011 peerId=1
00:51:39.956 INF Connected to orderer. addrStr=127.0.0.1:10000 id=0
00:51:39.957 INF Connected to orderer. addrStr=127.0.0.1:10022 id=2
00:51:39.959 INF Connected to orderer. addrStr=127.0.0.1:10033 id=3
00:51:39.959 INF Connected to orderer. addrStr=127.0.0.1:10011 id=1
00:51:40.012 INF Connected to orderers.
00:51:40.014 INF Updating bucket assignment. epoch=0
00:51:40.015 INF Resubmitted Requests. epoch=0 n=0
00:51:40.019 INF Setting up client timeout. clientRunTime=30000
00:51:40.020 INF Starting to submit requests. numRequests=15360
00:51:41.035 INF Request finished (out of order). clSeqNr=0
00:51:41.036 INF Request delivered (in order). clSeqNr=0
00:51:41.036 INF Request finished (out of order). clSeqNr=16
00:51:41.036 INF Request finished (out of order). clSeqNr=32
00:51:41.036 INF Request finished (out of order). clSeqNr=48
00:51:41.037 INF Request finished (out of order). clSeqNr=64
00:51:41.037 INF Request finished (out of order). clSeqNr=80
00:51:41.037 INF Request finished (out of order). clSeqNr=96
00:51:41.037 INF Request finished (out of order). clSeqNr=112
00:51:41.038 INF Request finished (out of order). clSeqNr=128
00:51:41.038 INF Request finished (out of order). clSeqNr=144
00:51:41.038 INF Request finished (out of order). clSeqNr=160
00:51:41.038 INF Request finished (out of order). clSeqNr=176
00:51:41.039 INF Request finished (out of order). clSeqNr=192
00:51:41.039 INF Request finished (out of order). clSeqNr=1
00:51:41.040 INF Request delivered (in order). clSeqNr=1
00:51:41.040 INF Request finished (out of order). clSeqNr=17
00:51:41.040 INF Request finished (out of order). clSeqNr=33
00:51:41.040 INF Request finished (out of order). clSeqNr=49
00:51:41.041 INF Request finished (out of order). clSeqNr=65
00:51:41.041 INF Request finished (out of order). clSeqNr=81
00:51:41.042 INF Request finished (out of order). clSeqNr=97
00:51:41.042 INF Request finished (out of order). clSeqNr=113
00:51:41.042 INF Request finished (out of order). clSeqNr=129
00:51:41.042 INF Request finished (out of order). clSeqNr=145
00:51:41.043 INF Request finished (out of order). clSeqNr=161
00:51:41.043 INF Request finished (out of order). clSeqNr=177
00:51:41.043 INF Request finished (out of order). clSeqNr=193
00:51:41.043 INF Request finished (out of order). clSeqNr=2
00:51:41.043 INF Request delivered (in order). clSeqNr=2
00:51:41.044 INF Request finished (out of order). clSeqNr=18
00:51:41.044 INF Request finished (out of order). clSeqNr=34
00:51:41.044 INF Request finished (out of order). clSeqNr=50
00:51:41.044 INF Request finished (out of order). clSeqNr=66
00:51:41.044 INF Request finished (out of order). clSeqNr=82
00:51:41.045 INF Request finished (out of order). clSeqNr=98
00:51:41.049 INF Request finished (out of order). clSeqNr=114
00:51:41.049 INF Request finished (out of order). clSeqNr=130
00:51:41.050 INF Request finished (out of order). clSeqNr=146
00:51:41.050 INF Request finished (out of order). clSeqNr=162
00:51:41.050 INF Request finished (out of order). clSeqNr=178
00:51:41.050 INF Request finished (out of order). clSeqNr=194
00:51:41.050 INF Request finished (out of order). clSeqNr=3
00:51:41.051 INF Request delivered (in order). clSeqNr=3
00:51:41.051 INF Request finished (out of order). clSeqNr=19
00:51:41.051 INF Request finished (out of order). clSeqNr=35
00:51:41.051 INF Request finished (out of order). clSeqNr=51
00:51:41.054 INF Request finished (out of order). clSeqNr=67
00:51:41.055 INF Request finished (out of order). clSeqNr=83
